label,message,length
0,"['hi', 'way', 'i', 'u', '2day', ',', 'normal', 'way', '&', 'real', '.', 'ur', 'unique', '&', 'i', 'hope', 'i', 'know', 'u', '4', 'rest', 'mylife', '.', 'hope', 'u', 'find', 'wot', 'lost', '.']",29
0,"['i', 'sent', 'lanre', 'fakeye', ""'s"", 'eckankar', 'detail', 'mail', 'box']",9
1,"['urgent', '!', 'your', 'mobile', 'number', 'awarded', '£2000', 'prize', 'guaranteed', '.', 'call', '09058094454', 'land', 'line', '.', 'claim', '3030', '.', 'valid', '12hrs']",20
0,"['ok', '...']",2
1,"['hard', 'live', '121', 'chat', '60p/min', '.', 'choose', 'girl', 'connect', 'live', '.', 'call', '09094646899', '!', 'cheap', 'chat', 'uk', ""'s"", 'biggest', 'live', 'service', '.', 'vu', 'bcm1896wc1n3xx']",24
0,"['so', 'telling', 'i', 'coulda', 'real', 'valentine', 'i', ""n't"", '?', 'u', 'never', 'pick', 'nothing', '!', '!']",15
0,"['i', ""'m"", 'ok', 'wif', 'co', 'like', '2', 'try', 'new', 'thing', '.', 'but', 'scared', 'u', 'dun', 'like', 'mah', '.', 'cos', 'u', 'said', 'loud', '.']",23
0,"['where', '@']",2
0,"['aight', ',', ""'ll"", 'head']",4
0,"['the', 'affidavit', 'say', '&', 'lt', ';', '#', '&', 'gt', ';', 'e', 'twiggs', 'st', ',', 'division', 'g', ',', 'courtroom', '&', 'lt', ';', '#', '&', 'gt', ';', ',', '&', 'lt', ';', 'time', '&', 'gt', ';', 'am', '.', 'i', ""'ll"", 'double', 'check', 'text', 'tomorrow']",41
0,"['no', 'i', ""'m"", 'good', 'movie', ',', 'ok', 'i', 'leave', 'hourish', '?']",11
0,"['we', 'live', 'next', '&', 'lt', ';', '#', '&', 'gt', ';', 'min']",11
0,"['rofl', '.', 'its', 'true', 'name']",5
1,"['customer', 'loyalty', 'offer', ':', 'the', 'new', 'nokia6650', 'mobile', 'only', '£10', 'txtauction', '!', 'txt', 'word', ':', 'start', 'no', ':', '81151', '&', 'get', 'now', '!', '4t', '&', 'ctxt', 'tc', '150p/mtmsg']",28
0,"['where', 'one', 'day', 'training', ':', '-', ')']",7
0,"['arun', 'u', 'transfr', 'amt']",4
0,"['k', ':', ')', 'eng', 'rocking', 'ash', ':', ')']",8
0,"['edison', 'rightly', 'said', ',', '``', 'a', 'fool', 'ask', 'question', 'wise', 'man', 'answer', ""''"", 'now', 'know', 'u', 'speechless', 'viva', '..', 'gm', ',', 'gn', ',', 'ge', ',', 'gnt', ':', '-', ')']",29
0,"['do', 'i', '?', 'i', 'thought', 'i', 'put', 'back', 'box']",9
0,"['mode', 'men', 'left', '.']",4
0,"['in', 'life', 'face', 'choice', 'just', 'toss', 'coin', 'becoz', 'settle', 'question', 'but', 'coin', 'air', 'u', 'know', 'heart', 'hoping', '.', 'gudni8']",19
0,"['yesterday', '.', 'now', 'going', 'home', '.']",6
0,"['``', 'er', ',', 'enjoyin', 'indians', 'at', 'the', 'mo', '..', 'yep', '.', 'sall', 'good', 'hehe', ';', '>', 'hows', 'bout', 'u', 'shexy', '?', 'pete', 'xx', ""''""]",24
1,"['yes', '!', 'the', 'place', 'town', 'meet', 'exciting', 'adult', 'single', 'uk', '.', 'txt', 'chat', '86688', '!', '150p/msg', '.']",17
0,"['if', 'r', '@', 'home', 'come', 'within', '5', 'min']",8
0,['okie'],1
0,"['why', 'want', 'talk']",3
0,"['no', 'call', '..', 'message', '..', 'missed', 'call']",7
0,"['be', 'happy', '.', 'i', 'come', 'noon']",6
0,"['ok', 'set', 'let', 'u', 'noe', 'e', 'detail', 'later', '...']",9
0,"['ok', 'ok', 'take', 'care', '.', 'i', 'understand', '.']",8
0,"['we', 'stopped', 'get', 'ice', 'cream', 'go', 'back']",7
1,"['your', 'next', 'amazing', 'xxx', 'picsfree1', 'video', 'sent', 'enjoy', '!', 'if', 'one', 'vid', 'enough', '2day', 'text', 'back', 'keyword', 'picsfree1', 'get', 'next', 'video', '.']",22
0,"['dunno', 'juz', 'askin', 'co', 'got', 'card', 'got', '20', '%', '4', 'salon', 'called', 'hair', 'sense', 'tot', ""'s"", 'da', 'one', 'ü', 'cut', 'ur', 'hair', '.']",23
0,"['haha', ',', 'i', 'thinkin']",4
0,"['how', '.', 'its', 'little', 'difficult', 'simple', 'way', 'enter', 'place']",9
0,"['aiyah', 'wait', 'lor', '.', 'then', 'u', 'entertain', '.', 'hee', '...']",10
0,"['what', ',', 'dog', '?', 'must', 'i', 'always', 'wait', 'till', 'end', 'day', 'word', '?', 'did', 'run', 'time', 'cell', 'already', '?']",19
0,"['well', 'i', ""'m"", 'desperate', 'i', ""'ll"", 'call', 'armand']",8
0,"['oic', 'co', 'n', 'si', 'got', 'lunch', 'today', 'dad', 'went', '...', 'so', 'dunno', 'whether', '2', 'eat', 'sch', 'wat', '...']",18
0,"['kay', '...', 'since', 'already']",4
0,"['stop', 'calling', 'everyone', 'saying', 'i', 'might', 'cancer', '.', 'my', 'throat', 'hurt', 'talk', '.', 'i', 'ca', ""n't"", 'answering', 'everyones', 'call', '.', 'if', 'i', 'get', 'one', 'call', 'i', ""'m"", 'babysitting', 'monday']",29
0,"['why', ""n't"", 'u', 'call', 'lunch', '?']",6
0,"['one', 'small', 'prestige', 'problem', '.']",5
1,"['sms', 'services', '.', 'inclusive', 'text', 'credit', ',', 'pls', 'goto', 'www.comuk.net', 'login=', '*', '*', '*', '*', '*', 'unsubscribe', 'stop', '.', 'extra', 'charge', '.', 'help:08700469649', '.', 'po', 'box420', '.', 'ip4', '5we']",29
0,"['i', 'dont', 'understand', 'message', '.']",5
1,"['double', 'min', 'txts', '4', '6months', 'free', 'bluetooth', 'orange', '.', 'available', 'sony', ',', 'nokia', 'motorola', 'phone', '.', 'call', 'mobileupd8', '08000839402', 'call2optout/n9dx']",20
1,"['5', 'free', 'top', 'polyphonic', 'tones', 'call', '087018728737', ',', 'national', 'rate', '.', 'get', 'toppoly', 'tune', 'sent', 'every', 'week', ',', 'text', 'subpoly', '81618', ',', '£3', 'per', 'pole', '.', 'unsub', '08718727870', '.']",29
0,"['hi', 'dear', 'call', 'urgnt', '.', 'i', ""n't"", 'know', 'whats', 'problem', '.', 'you', ""n't"", 'want', 'work', 'problem', 'least', 'tell', '.', 'wating', 'reply', '.']",22
0,"['lil', 'fever', ':', ')', 'fine', ':', ')']",7
0,"['yes', 'meet', 'town', 'co', 'go', 'gep', 'home', '.', 'you', 'could', 'text', 'bus', 'stop', '.', 'and', ""n't"", 'worry', ""'ll"", 'finished', 'march', '…', 'ish', '!']",23
0,"['then', 'came', 'hostel', '.']",4
0,"['merry', 'christmas', 'babe', ',', 'love', 'ya', '*', 'kiss', '*']",9
0,"['well', 'officially', 'philosophical', 'hole', ',', 'u', 'wan', 'na', 'call', 'home', 'ready', 'saved', '!']",13
0,"['great', 'escape', '.', 'i', 'fancy', 'bridge', 'need', 'lager', '.', 'see', 'tomo']",11
0,"['i', 'dont', 'know', 'oh', '.', 'hopefully', 'month', '.']",8
0,"['sorry', ',', 'i', ""'ll"", 'call', 'later']",6
0,"['nvm', ""'s"", 'ok', '...']",4
1,"['we', 'tried', 'call', 'reply', 'sm', 'video', 'mobile', '750', 'min', 'unlimited', 'text', '+', 'free', 'camcorder', 'reply', 'call', '08000930705', 'now']",18
1,"['ur', 'tonexs', 'subscription', 'renewed', 'charged', '£4.50', '.', 'you', 'choose', '10', 'polys', 'month', '.', 'www.clubzed.co.uk', '*', 'billing', 'msg', '*']",18
1,"['5p', '4', 'alfie', 'moon', ""'s"", 'children', 'need', 'song', 'ur', 'mob', '.', 'tell', 'ur', 'm8s', '.', 'txt', 'tone', 'charity', '8007', 'nokias', 'poly', 'charity', 'polys', ':', 'zed', '08701417012', 'profit', '2', 'charity', '.']",30
0,"['k', '..', 'k', ':', ')', '?', 'performed', '?']",8
1,"['send', 'logo', '2', 'ur', 'lover', '-', '2', 'name', 'joined', 'heart', '.', 'txt', 'love', 'name1', 'name2', 'mobno', 'eg', 'love', 'adam', 'eve', '07123456789', '87077', 'yahoo', '!', 'pobox36504w45wq', 'txtno', '4', 'ad', '150p']",29
1,"['final', 'chance', '!', 'claim', 'ur', '£150', 'worth', 'discount', 'voucher', 'today', '!', 'text', 'yes', '85023', '!', 'savamob', ',', 'member', 'offer', 'mobile', '!', 't', 'cs', 'savamob', 'pobox84', ',', 'm263uz', '.', '£3.00', 'subs', '16']",31
0,"['ca', ""n't"", 'take', 'major', 'role', 'community', 'outreach', '.', 'you', 'rock', 'mel']",11
0,"['sorry', ',', 'i', ""'ll"", 'call', 'later']",6
0,"['smile', 'pleasure', 'smile', 'pain', 'smile', 'trouble', 'pours', 'like', 'rain', 'smile', 'sum1', 'hurts', 'u', 'smile', 'becoz', 'someone', 'still', 'loves', 'see', 'u', 'smiling', '!', '!']",23
0,"['but', ""'m"", 'really', 'really', 'broke', 'oh', '.', 'no', 'amount', 'small', 'even', '&', 'lt', ';', '#', '&', 'gt', ';']",18
1,"['u', 'secret', 'admirer', 'looking', '2', 'make', 'contact', 'u-find', 'r', '*', 'reveal', 'think', 'ur', 'special-call', '09058094599']",15
0,"['wat', 'time', 'u', 'finish', 'ur', 'lect', 'today', '?']",8
0,"['dun', 'need', 'use', 'dial', 'juz', 'open', 'da', 'browser', 'n', 'surf', '...']",11
1,"['the', 'current', 'leading', 'bid', '151', '.', 'to', 'pause', 'auction', 'send', 'out', '.', 'customer', 'care', ':', '08718726270']",16
0,"['its', 'ok', '..', 'come', 'home', 'vl', 'nice', 'meet', 'v', 'chat', '..']",11
0,"['many', 'happy', 'return', 'day', '.', 'i', 'wish', 'happy', 'birthday', '.']",10
0,"['i', '‘', 'leave', 'around', 'four', ',', 'ok', '?']",8
0,"['good', 'night', 'dear', '..', 'sleepwell', '&', 'amp', ';', 'take', 'care']",10
0,"['what', 'class', '&', 'lt', ';', '#', '&', 'gt', ';', 'reunion', '?']",11
1,"['500', 'new', 'mobiles', '2004', ',', 'must', 'go', '!', 'txt', ':', 'nokia', 'no', ':', '89545', '&', 'collect', 'today', '!', 'from', 'only', '£1', 'www.4-tc.biz', '2optout', '087187262701.50gbp/mtmsg18', 'txtauction']",25
0,"['i', ""'ll"", 'see', 'i', 'swing', 'bit', ',', 'got', 'thing', 'take', 'care', 'firsg']",12
1,"['freemsg', ':', 'fancy', 'flirt', '?', 'reply', 'date', '&', 'join', 'uks', 'fastest', 'growing', 'mobile', 'dating', 'service', '.', 'msgs', 'rcvd', '25p', 'optout', 'txt', 'stop', '83021', '.', 'reply', 'date', '!']",27
0,"['i', 'think', 'asking', 'gym', 'excuse', 'lazy', 'people', '.', 'i', 'jog', '.']",11
0,"['new', 'theory', ':', 'argument', 'win', 'situation', ',', 'loses', 'person', '.', 'so', 'dont', 'argue', 'ur', 'friend', '..', '.', '.', '.', 'kick', '&', 'amp', ';', 'say', ',', 'i', ""'m"", 'always', 'correct', '.', '!']",31
0,"['love', ""n't"", 'decision', ',', ""'s"", 'feeling', '.', 'if', 'could', 'decide', 'love', ',', ',', 'life', 'would', 'much', 'simpler', ',', 'less', 'magical']",20
0,"['tee', 'hee', '.', 'off', 'lecture', ',', 'cheery', 'bye', 'bye', '.']",10
1,"['congratulations', '!', 'thanks', 'good', 'friend', 'u', 'won', '£2,000', 'xmas', 'prize', '.', '2', 'claim', 'easy', ',', 'call', '08718726971', 'now', '!', 'only', '10p', 'per', 'minute', '.', 'bt-national-rate', '.']",26
1,"['sunshine', 'hols', '.', 'to', 'claim', 'ur', 'med', 'holiday', 'send', 'stamped', 'self', 'address', 'envelope', 'drinks', 'us', 'uk', ',', 'po', 'box', '113', ',', 'bray', ',', 'wicklow', ',', 'eire', '.', 'quiz', 'starts', 'saturday', '!', 'unsub', 'stop']",33
0,"['yes', 'i', 'know', 'cheesy', 'song', 'frosty', 'snowman', ':', ')']",9
0,"['i', 'think', 'mentor', ',', '100', 'percent', 'sure', '.']",8
0,"['for', 'family', 'happiness', '..']",4
0,"['sorry', 'completely', 'forgot', '*', 'pop', 'em', 'round', 'week', 'still', '?']",10
0,"['finish', 'liao', '...', 'u', '?']",5
0,"['i', 'going', 'sao', 'mu', 'today', '.', 'will', 'done', '12']",9
0,"['i', 'got', 'ta', 'collect', 'da', 'car', '6', 'lei', '.']",9
0,"['can', '.', 'dunno', 'wat', 'get', '4', '...']",7
1,"['thanks', 'ringtone', 'order', ',', 'ref', 'number', 'k718', '.', 'your', 'mobile', 'charged', '£4.50', '.', 'should', 'tone', 'arrive', 'please', 'call', 'customer', 'service', '09065069120']",21
0,"['aldrine', ',', 'rakhesh', 'ex', 'rtm', 'here.pls', 'call.urgent', '.']",8
0,"['do', 'know', 'dad', 'back', '?']",5
0,"['oops', 'i', ',', '&', 'lt', ';', '#', '&', 'gt', ';', '?']",11
0,"['yup', '.', 'wun', 'believe', 'wat', '?', 'u', 'really', 'neva', 'c', 'e', 'msg', 'sent', 'shuhui', '?']",15
0,"['are', 'work', 'right', '?']",4
1,"['hello', '.', 'we', 'need', 'posh', 'bird', 'chap', 'user', 'trial', 'prod', 'champneys', '.', 'can', 'put', '?', 'i', 'need', 'address', 'dob', 'asap', '.', 'ta', 'r']",23
0,"['hows', 'pain', 'dear', '?', 'r', 'u', 'smiling', '?']",8
0,"['i', ""'m"", 'class', '.', 'will', 'holla', 'later']",7
0,"['kallis', 'ready', 'bat', '2nd', 'inning']",5
0,"['are', 'u', 'coming', 'funeral', 'home']",5
0,"['thank', 'you', 'calling.forgot', 'say', 'happy', 'onam', 'sirji.i', 'fine', 'remembered', 'met', 'insurance', 'person.meet', 'you', 'qatar', 'insha', 'allah.rakhesh', ',', 'ex', 'tata', 'aig', 'joined', 'tissco', ',', 'tayseer', '.']",25
0,"['k.', 'i', 'sent']",3
0,"['lol', '...', 'i', 'really', 'need', 'remember', 'eat', 'i', ""'m"", 'drinking', 'i', 'appreciate', 'keeping', 'company', 'night', 'babe', '*', 'smile', '*']",19
0,"['japanese', 'proverb', ':', 'if', 'one', 'can', ',', 'u', 'can', ',', 'if', 'none', 'can', ',', 'u', 'must', 'indian', 'version', ':', 'if', 'one', 'can', ',', 'let', 'him', 'do', '..', 'if', 'none', 'can', ',', 'leave', '!', '!', 'and', 'finally', 'kerala', 'version', ':', 'if', 'one', ',', 'stop', '..', 'if', 'none', ',', 'make', 'strike', '...']",50
1,"['dear', 'voucher', 'holder', '2', 'claim', '1st', 'class', 'airport', 'lounge', 'pass', 'using', 'your', 'holiday', 'voucher', 'call', '08704439680', '.', 'when', 'booking', 'quote', '1st', 'class', 'x', '2']",24
0,"['you', 'get', 'chicken', 'broth', 'want', 'ramen', 'unless', ""'s"", 'i', ""n't"", 'know']",11
0,"['oh', 'howda', 'gud', 'gud', '..', 'mathe', 'en', 'samachara', 'chikku', ':', '-', ')']",12
0,"['ok', '.']",2
0,"['just', 'send', 'text', '.', 'we', ""'ll"", 'skype', 'later', '.']",9
0,"['hi', 'good', 'mornin', '..', 'thanku', 'wish', 'u', '..']",8
1,"['mobile', 'number', '£5000', ',', 'claim', 'call', 'u', 'back', 'ring', 'claim', 'hot', 'line', '09050005321', '.']",14
0,"['yo', 'come', 'carlos', 'soon']",4
0,"['babe', '!', '!', '!', 'i', 'miiiiiiissssssssss', '!', 'i', 'need', '!', '!', '!', 'i', 'crave', '!', '!', '!', ':', '-', '(', '...', 'geeee', '...', 'i', ""'m"", 'sad', 'without', 'babe', '...', 'i', 'love', '...']",32
0,"['i', 'prefer', 'free', 'day', '...', 'tues', ',', 'wed', ',', 'fri', 'oso', '...', 'ü', 'ask', 'workin', 'lor', '...']",17
1,"['urgent', '!', 'please', 'call', '09061743811', 'landline', '.', 'your', 'abta', 'complimentary', '4', '*', 'tenerife', 'holiday', '£5000', 'cash', 'await', 'collection', 'sae', 't', '&', 'cs', 'box', '326', 'cw25wx', '150ppm']",26
1,"['sunshine', 'quiz', 'wkly', 'q', '!', 'win', 'top', 'sony', 'dvd', 'player', 'u', 'know', 'country', 'algarve', '?', 'txt', 'ansr', '82277', '.', '£1.50', 'sp', ':', 'tyrone']",23
0,"['aight', ',', 'i', ""'ll"", 'text', 'i', ""'m"", 'back']",8
0,"['happy', 'birthday', '...', 'may', 'u', 'find', 'ur', 'prince', 'charming', 'soon', 'n', 'dun', 'work', 'hard', '...']",15
0,"['im', 'sorry', 'bout', 'last', 'nite', 'wasn\x92t', 'ur', 'fault', ',', 'spouse', 'pmt', 'sumthin', '!', 'u', '4give', '?', 'i', 'think', 'u', 'shldxxxx']",20
0,"['maybe', 'could', 'get', 'book', 'tomo', 'return', 'immediately', '..', '?', 'or', 'something', '.']",12
1,"['wan', 'na', 'get', 'laid', '2nite', '?', 'want', 'real', 'dogging', 'location', 'sent', 'direct', 'ur', 'mobile', '?', 'join', 'uk', ""'s"", 'largest', 'dogging', 'network', '.', 'txt', 'park', '69696', '!', 'nyt', '.', 'ec2a', '.', '3lp', '£1.50/msg']",32
0,"['k', '...', 'k', '...', 'yesterday', 'cbe', '.']",7
0,"['i', 'love', 'wine', 'dine', 'lady', '!']",6
0,"['k', '...', 'must', 'book', 'huh', '?', 'going', 'yoga', 'basic', 'sunday', '?']",11
0,"['i', 'gentle', 'princess', '!', 'we', 'make', 'sweet', 'gentle', 'love', '...']",10
0,"['am', 'also', 'cbe', '.', 'but', 'pay', '.']",7
0,"['hey', 'mr', 'i', 'going', 'sea', 'view', 'couple', 'gay', 'i', 'mean', 'game', '!', 'give', 'bell', 'ya', 'finish']",16
0,"['msg', 'rajini', 'come', '.']",4
0,"['no', 'need', 'drug', 'anymore', '.']",5
0,"['so', 'let', 'make', 'saturday', 'monday', 'per', 'convenience', '.']",8
0,"['k', 'come', 'nordstrom', ""'re"", 'done']",5
0,"['yes', '.', 'so', ""'s"", 'u', 'texted', '.', 'pshew', '...', 'missing', 'much']",11
0,"['juz', 'havent', 'woke', 'bit', 'blur', 'blur', '...', 'can', '?', 'dad', 'went', 'liao', '...', 'i', 'cant', 'cum', 'oso', '...']",18
0,['okie'],1
0,"['hello', 'hun', 'ru', '?', 'its', 'way', '.', 'im', 'good', '.', 'been', '2', 'date', 'guy', 'met', 'walkabout', 'far', '.', 'we', 'meet', 'soon', '.', 'hows', 'everyone', 'else', '?']",26
0,"['no', 'need', 'lar', '.', 'jus', 'testing', 'e', 'phone', 'card', '.', 'dunno', 'network', 'gd', 'thk', '.', 'me', 'waiting', '4', 'si', '2', 'finish', 'bathing', 'bathe', '.', 'dun', 'disturb', 'u', 'liao', 'u', 'cleaning', 'ur', 'room', '.']",33
0,"['what', 'time', 'u', 'get', '?']",5
0,"['shall', 'i', 'bring', 'u', 'bottle', 'wine', 'keep', 'u', 'amused', '?', 'only', 'joking', '!', 'i', '‘', 'bring', 'one', 'anyway']",18
0,"['watching', 'tv', 'lor', '...', 'y', 'funny', 'bluff', '4', 'wat', '.', 'izzit', 'thk', ""'s"", 'impossible', 'u', '?']",16
0,"['``', 'hey', 'hey', 'werethe', 'monkeespeople', 'say', 'we', 'monkeyaround', '!', 'howdy', 'gorgeous', ',', 'howu', 'doin', '?', 'foundurself', 'a', 'jobyet', 'sausage', '?', 'love', 'jen', 'xxx', ""''""]",24
0,"['ok.', 'c', 'u', '.']",4
1,"['urgent', '!', 'we', 'trying', 'contact', 'u.', 'todays', 'draw', 'show', '£2000', 'prize', 'guaranteed', '.', 'call', '09066358361', 'land', 'line', '.', 'claim', 'y87', '.', 'valid', '12hrs']",23
0,"['sat', 'right', '?', 'okay', 'thanks', '...']",6
0,"['wen', 'ur', 'lovable', 'bcums', 'angry', 'wid', 'u', ',', 'dnt', 'take', 'seriously', '..', 'coz', 'angry', 'childish', 'n', 'true', 'way', 'showing', 'deep', 'affection', ',', 'care', 'n', 'luv', '!', '..', 'kettoda', 'manda', '...', 'have', 'nice', 'day', 'da', '.']",35
0,"['thanks', 'hope', 'good', 'day', 'today']",5
0,"['darren', 'saying', 'dat', 'u', 'meeting', 'da', 'ge', 'den', 'dun', 'meet', '4', 'dinner', '.', 'cos', 'later', 'u', 'leave', 'xy', 'feel', 'awkward', '.', 'den', 'u', 'meet', '4', 'lunch', 'lor', '.']",28
0,"['just', ""n't"", 'decided', 'yet', 'eh', '?']",6
0,"['hmmm.still', 'dont', 'opener', '?']",4
1,"['last', 'chance', '!', 'claim', 'ur', '£150', 'worth', 'discount', 'voucher', 'today', '!', 'text', 'shop', '85023', '!', 'savamob', ',', 'offer', 'mobile', '!', 't', 'cs', 'savamob', 'pobox84', ',', 'm263uz', '.', '£3.00', 'sub', '.', '16']",31
0,"['probably', ',', 'still', 'going', 'stuff']",5
0,"['i', 'have', 'a', 'date', 'on', 'sunday', 'with', 'will', '!', '!']",10
1,"['thanks', '4', 'continued', 'support', 'your', 'question', 'week', 'enter', 'u', 'in2', 'draw', '4', '£100', 'cash', '.', 'name', 'new', 'us', 'president', '?', 'txt', 'an', '80082']",23
1,"['dear', '0776xxxxxxx', 'u', ""'ve"", 'invited', 'xchat', '.', 'this', 'final', 'attempt', 'contact', 'u', '!', 'txt', 'chat', '86688', '150p/msgrcvdhg/suite342/2lands/row/w1j6hl', 'ldn', '18yrs']",19
0,"['i', 'sent', 'score', 'sophas', 'secondary', 'application', 'school', '.', 'i', 'think', 'thinking', 'applying', ',', 'research', 'cost', 'also', '.', 'contact', 'joke', 'ogunrinde', ',', 'school', 'one', 'less', 'expensive', 'one']",26
0,"['kothi', 'print', 'marandratha', '.']",4
0,"['arun', 'u', 'transfr', 'amt']",4
0,"['i', 'asked', 'call', 'ok']",4
1,"['ringtone', 'club', ':', 'gr8', 'new', 'polys', 'direct', 'mobile', 'every', 'week', '!']",11
0,"['hello', '!', 'just', 'got', ',', 'st', 'andrews-boy', 'long', 'way', '!', 'its', 'cold', '.', 'i', 'keep', 'posted']",16
0,"['no', 'sir', '.', 'that', ""'s"", '8-hr', 'trip', 'bus', 'last', 'week', '.', 'have', 'another', 'audition', 'next', 'wednesday', 'think', 'might', 'drive', 'time', '.']",21
0,"['today', 'iz', 'yellow', 'rose', 'day', '.', 'if', 'u', 'love', 'frndship', 'give', '1', 'misscall', '&', 'amp', ';', 'send', 'ur', 'frndz', '&', 'amp', ';', 'see', 'many', 'miss', 'call', 'u', 'get', '.', 'if', 'u', 'get', '6missed', 'u', 'marry', 'ur', 'lover', '.']",38
0,['okie'],1
0,"['did', 'u', 'see', 'i', 'posted', 'facebook', '?']",7
0,"['she', 'left', 'vague', '.', 'she', 'said', 'would', 'inform', 'person', 'accounting', 'delayed', 'rent', 'discus', 'housing', 'agency', 'renting', 'another', 'place', '.', 'but', 'checking', 'online', 'place', 'around', 'usc', '&', 'lt', ';', '#', '&', 'gt', ';']",32
0,"['lmao', 'know', 'well', '...']",4
0,"['ok.ok', 'ok', '..', '..', 'whats', 'ur', 'today', 'plan']",8
0,"['huh', 'slow', 'tot', 'u', 'reach', 'long', 'ago', 'liao', '...', 'u', '2', 'day', '4', 'leh', '...']",15
1,"['do', ""n't"", 'b', 'floppy', '...', 'b', 'snappy', '&', 'happy', '!', 'only', 'gay', 'chat', 'service', 'photo', 'upload', 'call', '08718730666', '(', '10p/min', ')', '.', '2', 'stop', 'text', 'call', '08712460324']",27
0,"['go', 'fool', 'dont', 'cheat', 'others', 'ok']",6
0,"['that', ""'s"", 'honeymoon', 'outfit', '.', ':', ')']",7
0,"['thought', 'praps', 'meant', 'another', 'one', '.', 'goodo', '!', 'i', ""'ll"", 'look', 'tomorrow']",12
0,"['dip', ""'s"", 'cell', 'dead', '.', 'so', 'coming', '.', 'u', 'better', 'respond', 'else', 'shall', 'come', 'back', '.']",16
0,"['ujhhhhhhh', 'computer', 'shipped', 'address', 'sandiago', 'parantella', 'lane', '.', 'wtf', '.', 'poop', '.']",12
0,"['ü', 'still', 'attending', 'da', 'talk', '?']",6
0,"['by', 'way', ',', 'make', 'sure', 'u', 'get', 'train', 'worc', 'foregate', 'street', 'shrub', 'hill', '.', 'have', 'fun', 'night', 'x']",18
0,"['i', ""'ve"", 'reached', 'sch', 'already', '...']",6
0,"['should', 'send', 'naughty', 'pix', '?', ':', ')']",7
0,"['just', 'got', 'outta', 'class', 'gon', 'na', 'go', 'gym', '.']",9
0,"['i', 'think', ""'ve"", 'fixed', 'send', 'test', 'message', '?']",8
0,"['oh', 'fuck', ""'s"", 'sake', ""'s"", 'like', 'tallahassee']",7
0,"['your', 'brother', 'genius']",3
0,"['give', 'sec', 'think', 'think']",4
0,"['does', 'uncle', 'timi', 'help', 'clearing', 'car']",6
0,"['its', 'ok', 'arm', 'feeling', 'weak', 'cuz', 'got', 'shot', 'go', 'another', 'time']",11
0,"['i', ""'m"", 'meeting', 'darren', '...']",5
0,"['lol', 'would', 'awesome', 'payback', '.']",5
0,"['no', 'message', '..', 'responce', '..', 'happend', '?']",7
0,"['``', 'si.como', '?', '!', 'listened2the', 'plaid', 'album-quite', 'gd', '&', 'new', 'air1', 'hilarious-also', 'bought\x94braindance\x94a', 'comp.ofstuff', 'aphex\x92s', ';', 'abel', ',', 'u', 'hav2hear', '!', 'c', 'u', 'sn', 'xxxx', ""''""]",26
0,"['shuhui', 'say', 'change', '2', 'suntec', 'steamboat', '?', 'u', 'noe', '?', 'where', 'r', 'u', '?']",14
0,"['i', 'think', '…thanks', 'see', 'tomo']",5
0,"['no', ""'s"", 'waiting', 'e', 'car', 'dat', ""'s"", 'bored', 'wat', '.', 'cos', 'wait', 'outside', 'got', 'nothing', '2', '.', 'at', 'home', 'stuff', 'watch', 'tv', 'wat', '.']",24
0,"['no', '..', 'hour', 'before.went', 'hair', 'cut', '.']",7
0,"['hi', '.', 'hope', 'good', 'day', '.', 'have', 'better', 'night', '.']",10
